------------ Data Table File Created By ActiGraph Link ActiLife v6.13.4 Firmware v1.7.2 date format dd/MM/yyyy Filter Normal -----------
Serial Number: TAS1H37200051
Start Time 12:40:00
Start Date 12/12/2022
Epoch Period (hh:mm:ss) 00:00:30
Download Time 09:23:21
Download Date 20/12/2022
Current Memory Address: 0
Current Battery Voltage: 3,84     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Standing,Inclinometer Stepping,Inclinometer Sitting/Lying,Vector Magnitude
12/12/2022,12:40:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:40:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:41:00,"0","16","0","0","0","0","0","30","16"
12/12/2022,12:41:30,"0","8","0","0","0","0","0","30","8"
12/12/2022,12:42:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:42:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:43:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:43:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:44:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:44:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:45:00,"0","1","0","0","0","0","0","30","1"
12/12/2022,12:45:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:46:00,"0","1","0","0","0","0","0","30","1"
12/12/2022,12:46:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:47:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:47:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:48:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:48:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:49:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:49:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:50:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:50:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:51:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:51:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:52:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:52:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:53:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:53:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:54:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:54:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:55:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:55:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:56:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:56:30,"0","8","0","0","0","0","0","30","8"
12/12/2022,12:57:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:57:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:58:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:58:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:59:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,12:59:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:00:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:00:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:01:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:01:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:02:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:02:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:03:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:03:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:04:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:04:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:05:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:05:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:06:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:06:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:07:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:07:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:08:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:08:30,"0","24","0","0","0","0","0","30","24"
12/12/2022,13:09:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:09:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:10:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:10:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:11:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:11:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:12:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:12:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:13:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:13:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:14:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:14:30,"0","10","0","0","0","0","0","30","10"
12/12/2022,13:15:00,"0","5","0","0","0","0","0","30","5"
12/12/2022,13:15:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:16:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:16:30,"0","3","0","0","0","0","0","30","3"
12/12/2022,13:17:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:17:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:18:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:18:30,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:19:00,"0","0","0","0","0","0","0","30","0"
12/12/2022,13:19:30,"0","0","0","0","0","0","0","30","0"
